click_id,banner_id,campaign_id,quarter_file
150000,201,50,2
150001,222,35,2
150002,371,40,2
150003,354,35,2
150004,157,40,2
150005,207,23,2
150006,461,20,2
150007,475,37,2
150008,336,35,2
150009,195,21,2
150010,154,9,2
150011,326,31,2
150012,173,47,2
150013,347,17,2
150014,139,32,2
150015,173,38,2
150016,332,38,2
150017,122,30,2
150018,102,16,2
150019,411,48,2
150020,318,18,2
150021,475,5,2
150022,286,8,2
150023,107,12,2
150024,408,45,2
150025,232,15,2
150026,400,44,2
150027,340,17,2
150028,317,23,2
150029,346,36,2
150030,309,15,2
150031,299,31,2
150032,490,43,2
150033,276,1,2
150034,377,18,2
150035,397,35,2
150036,385,17,2
150037,269,41,2
150038,270,13,2
150039,113,29,2
150040,231,26,2
150041,369,46,2
150042,487,27,2
150043,358,6,2
150044,272,43,2
150045,484,5,2
150046,210,34,2
150047,223,12,2
150048,289,30,2
150049,158,23,2
150050,343,25,2
150051,106,19,2
150052,262,32,2
150053,185,36,2
150054,433,26,2
150055,249,14,2
150056,251,17,2
150057,228,49,2
150058,335,25,2
150059,346,27,2
150060,225,9,2
150061,301,33,2
150062,317,19,2
150063,196,24,2
150064,482,4,2
150065,405,6,2
150066,428,18,2
150067,168,5,2
150068,153,16,2
150069,476,46,2
150070,105,38,2
150071,314,41,2
150072,454,27,2
150073,192,9,2
150074,359,15,2
150075,473,1,2
150076,257,15,2
150077,469,29,2
150078,420,48,2
150079,223,45,2
150080,195,39,2
150081,133,37,2
150082,129,7,2
150083,153,23,2
150084,218,15,2
150085,254,22,2
150086,220,14,2
150087,320,35,2
150088,435,33,2
150089,168,11,2
150090,168,39,2
150091,283,37,2
150092,175,5,2
150093,300,34,2
150094,441,5,2
150095,297,11,2
150096,294,11,2
150097,161,41,2
150098,262,37,2
150099,215,44,2
150100,165,15,2
150101,482,45,2
150102,383,15,2
150103,152,25,2
150104,270,6,2
150105,241,2,2
150106,500,20,2
150107,183,25,2
150108,361,36,2
150109,463,5,2
150110,156,35,2
150111,278,19,2
150112,311,39,2
150113,302,6,2
150114,181,24,2
150115,154,11,2
150116,267,11,2
150117,356,17,2
150118,224,12,2
150119,351,34,2
150120,368,33,2
150121,489,48,2
150122,461,6,2
150123,306,10,2
150124,379,41,2
150125,269,42,2
150126,171,2,2
150127,300,41,2
150128,402,10,2
150129,215,10,2
150130,341,21,2
150131,116,9,2
150132,279,13,2
150133,329,21,2
150134,477,23,2
150135,114,1,2
150136,175,13,2
150137,286,1,2
150138,181,22,2
150139,438,40,2
150140,219,32,2
150141,377,11,2
150142,279,19,2
150143,275,11,2
150144,449,23,2
150145,348,46,2
150146,462,35,2
150147,386,29,2
150148,458,27,2
150149,199,49,2
150150,121,21,2
150151,337,40,2
150152,459,45,2
150153,275,49,2
150154,154,12,2
150155,403,3,2
150156,395,50,2
150157,388,32,2
150158,445,10,2
150159,468,30,2
150160,467,13,2
150161,361,3,2
150162,335,14,2
150163,491,6,2
150164,457,19,2
150165,440,22,2
150166,453,23,2
150167,176,18,2
150168,444,42,2
150169,469,22,2
150170,196,20,2
150171,209,43,2
150172,321,20,2
150173,305,5,2
150174,301,20,2
150175,352,20,2
150176,144,28,2
150177,379,20,2
150178,113,46,2
150179,219,8,2
150180,300,3,2
150181,242,22,2
150182,123,48,2
150183,455,29,2
150184,218,15,2
150185,463,14,2
150186,441,26,2
150187,161,20,2
150188,137,8,2
150189,172,47,2
150190,429,31,2
150191,261,44,2
150192,367,46,2
150193,397,25,2
150194,288,3,2
150195,491,46,2
150196,271,41,2
150197,219,20,2
150198,362,20,2
150199,490,41,2
150200,243,25,2
150201,207,5,2
150202,421,48,2
150203,462,33,2
150204,255,33,2
150205,112,22,2
150206,207,48,2
150207,243,49,2
150208,493,46,2
150209,415,3,2
150210,154,23,2
150211,196,44,2
150212,413,15,2
150213,481,29,2
150214,400,38,2
150215,254,2,2
150216,138,29,2
150217,409,4,2
150218,407,34,2
150219,285,50,2
150220,217,22,2
150221,308,7,2
150222,372,23,2
150223,118,10,2
150224,236,25,2
150225,157,37,2
150226,339,7,2
150227,217,18,2
150228,221,2,2
150229,234,13,2
150230,122,36,2
150231,300,44,2
150232,118,47,2
150233,357,42,2
150234,141,50,2
150235,177,50,2
150236,469,36,2
150237,227,35,2
150238,262,2,2
150239,152,31,2
150240,103,43,2
150241,252,5,2
150242,488,37,2
150243,223,41,2
150244,199,46,2
150245,110,27,2
150246,489,49,2
150247,222,35,2
150248,185,32,2
150249,264,18,2
150250,450,43,2
150251,348,10,2
150252,351,14,2
150253,471,25,2
150254,438,40,2
150255,450,27,2
150256,444,1,2
150257,494,11,2
150258,430,45,2
150259,329,28,2
150260,110,36,2
150261,436,17,2
150262,284,40,2
150263,409,11,2
150264,159,16,2
150265,482,40,2
150266,487,30,2
150267,253,17,2
150268,172,31,2
150269,345,47,2
150270,294,11,2
150271,237,14,2
